system:index,system:time_start,.geo
A2003117,1.051404601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003118,1.0514883E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003119,1.0515768E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003120,1.051660801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003121,1.0517493E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003122,1.0518372E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003123,1.051921501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003124,1.0520097E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003125,1.052093701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003126,1.052181901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003127,1.052265601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003128,1.052354401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003129,1.052438401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003130,1.052526601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003131,1.052614801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003132,1.052698801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003133,1.052787001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003134,1.052871E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003135,1.052959201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003136,1.0530432E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003137,1.0531317E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003138,1.0532196E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003139,1.0533039E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003140,1.0533921E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003141,1.053476101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003142,1.0535643E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003143,1.053648001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003144,1.053736801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003145,1.053820801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003146,1.053909001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003147,1.053997201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003148,1.054081201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003149,1.054169401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003150,1.054253401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003151,1.0543464E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003152,1.0544256E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003153,1.054514101E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003154,1.054602001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003155,1.0546863E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003156,1.0547745E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003157,1.0548585E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003158,1.0549467E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003159,1.055030401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003160,1.0551192E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003161,1.055203201E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003162,1.055291401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003163,1.055379601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003164,1.055463601E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003165,1.055551801E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003166,1.055635501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003167,1.055724001E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003168,1.055808E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003169,1.055896501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003170,1.055984401E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003171,1.056068701E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003172,1.056156901E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
A2003173,1.0562409E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
